tranche_age,genres_concat,primaryName,nb_films
0 - 10,Action,'Big' LeRoy Mobley,0
0 - 10,Action,'Weird Al' Yankovic,0
0 - 10,Action,2 Chainz,0
0 - 10,Action,360,0
0 - 10,Action,3D Na'Tee,0
0 - 10,Action,50 Cent,0
0 - 10,Action,5th Ward Weebie,0
0 - 10,Action,A$AP Rocky,0
0 - 10,Action,A. Michael Baldwin,0
0 - 10,Action,A. Mike Forgette,0
0 - 10,Comedy,Beck the Malinois,1
0 - 10,Comedy,'Big' LeRoy Mobley,0
0 - 10,Comedy,'Weird Al' Yankovic,0
0 - 10,Comedy,2 Chainz,0
0 - 10,Comedy,360,0
0 - 10,Comedy,3D Na'Tee,0
0 - 10,Comedy,50 Cent,0
0 - 10,Comedy,5th Ward Weebie,0
0 - 10,Comedy,A$AP Rocky,0
0 - 10,Comedy,A. Michael Baldwin,0
0 - 10,Crime,'Big' LeRoy Mobley,0
0 - 10,Crime,'Weird Al' Yankovic,0
0 - 10,Crime,2 Chainz,0
0 - 10,Crime,360,0
0 - 10,Crime,3D Na'Tee,0
0 - 10,Crime,50 Cent,0
0 - 10,Crime,5th Ward Weebie,0
0 - 10,Crime,A$AP Rocky,0
0 - 10,Crime,A. Michael Baldwin,0
0 - 10,Crime,A. Mike Forgette,0
0 - 10,Drama,Emily Mitchell,2
0 - 10,Drama,Rumi Carter,1
0 - 10,Drama,Sir Carter,1
0 - 10,Drama,'Big' LeRoy Mobley,0
0 - 10,Drama,'Weird Al' Yankovic,0
0 - 10,Drama,2 Chainz,0
0 - 10,Drama,360,0
0 - 10,Drama,3D Na'Tee,0
0 - 10,Drama,50 Cent,0
0 - 10,Drama,5th Ward Weebie,0
0 - 10,Family,Beck the Malinois,1
0 - 10,Family,Emily Mitchell,1
0 - 10,Family,'Big' LeRoy Mobley,0
0 - 10,Family,'Weird Al' Yankovic,0
0 - 10,Family,2 Chainz,0
0 - 10,Family,360,0
0 - 10,Family,3D Na'Tee,0
0 - 10,Family,50 Cent,0
0 - 10,Family,5th Ward Weebie,0
0 - 10,Family,A$AP Rocky,0
0 - 10,Romance,'Big' LeRoy Mobley,0
0 - 10,Romance,'Weird Al' Yankovic,0
0 - 10,Romance,2 Chainz,0
0 - 10,Romance,360,0
0 - 10,Romance,3D Na'Tee,0
0 - 10,Romance,50 Cent,0
0 - 10,Romance,5th Ward Weebie,0
0 - 10,Romance,A$AP Rocky,0
0 - 10,Romance,A. Michael Baldwin,0
0 - 10,Romance,A. Mike Forgette,0
0 - 10,ScienceFiction,Beck the Malinois,1
0 - 10,ScienceFiction,'Big' LeRoy Mobley,0
0 - 10,ScienceFiction,'Weird Al' Yankovic,0
0 - 10,ScienceFiction,2 Chainz,0
0 - 10,ScienceFiction,360,0
0 - 10,ScienceFiction,3D Na'Tee,0
0 - 10,ScienceFiction,50 Cent,0
0 - 10,ScienceFiction,5th Ward Weebie,0
0 - 10,ScienceFiction,A$AP Rocky,0
0 - 10,ScienceFiction,A. Michael Baldwin,0
0 - 10,Thriller,'Big' LeRoy Mobley,0
0 - 10,Thriller,'Weird Al' Yankovic,0
0 - 10,Thriller,2 Chainz,0
0 - 10,Thriller,360,0
0 - 10,Thriller,3D Na'Tee,0
0 - 10,Thriller,50 Cent,0
0 - 10,Thriller,5th Ward Weebie,0
0 - 10,Thriller,A$AP Rocky,0
0 - 10,Thriller,A. Michael Baldwin,0
0 - 10,Thriller,A. Mike Forgette,0
10 - 20,Action,Chloe Coleman,4
10 - 20,Action,Ever Anderson,4
10 - 20,Action,Billy Barratt,3
10 - 20,Action,Chance Hurstfield,3
10 - 20,Action,Aria Lyric Leabu,2
10 - 20,Action,Ava Kolker,2
10 - 20,Action,Cailey Fleming,2
10 - 20,Action,Dean Scott Vazquez,2
10 - 20,Action,Isabella Sermon,2
10 - 20,Action,Jett Klyne,2
10 - 20,Comedy,Mckenna Grace,11
10 - 20,Comedy,Christian Convery,8
10 - 20,Comedy,Jacob Tremblay,7
10 - 20,Comedy,Kiefer O'Reilly,7
10 - 20,Comedy,Raphael Alejandro,6
10 - 20,Comedy,Ava Kolker,5
10 - 20,Comedy,Chloe Coleman,5
10 - 20,Comedy,Maxwell Simkins,5
10 - 20,Comedy,Millie Davis,5
10 - 20,Comedy,Ramone Hamilton,5
10 - 20,Crime,Ava Kolker,3
10 - 20,Crime,Brooklynn Prince,2
10 - 20,Crime,Carlotta von Falkenhayn,2
10 - 20,Crime,Chloe Coleman,2
10 - 20,Crime,Hala Finley,2
10 - 20,Crime,Lorenzo McGovern Zaini,2
10 - 20,Crime,Nicholas Crovetti,2
10 - 20,Crime,Alyvia Alyn Lind,1
10 - 20,Crime,Archie Yates,1
10 - 20,Crime,Ariel Donoghue,1
10 - 20,Drama,Charlie Shotwell,10
10 - 20,Drama,Mckenna Grace,10
10 - 20,Drama,Jacob Tremblay,9
10 - 20,Drama,Azriel Dalman,7
10 - 20,Drama,Ryan Kiera Armstrong,7
10 - 20,Drama,Jaeda Lily Miller,6
10 - 20,Drama,Zackary Arthur,6
10 - 20,Drama,Alyvia Alyn Lind,5
10 - 20,Drama,Brooklynn Prince,5
10 - 20,Drama,Christian Convery,5
10 - 20,Family,Jacob Tremblay,10
10 - 20,Family,Kiefer O'Reilly,9
10 - 20,Family,Christian Convery,8
10 - 20,Family,Michela Luci,5
10 - 20,Family,Millie Davis,5
10 - 20,Family,Ramone Hamilton,5
10 - 20,Family,Sam Lavagnino,5
10 - 20,Family,Darby Camp,4
10 - 20,Family,Lidya Jewett,4
10 - 20,Family,Lilly Noelle Bartlam,4
10 - 20,Romance,Jaeda Lily Miller,6
10 - 20,Romance,Lina Renna,5
10 - 20,Romance,Ava Telek,4
10 - 20,Romance,Bailey Skodje,4
10 - 20,Romance,Hattie Kragten,4
10 - 20,Romance,Kiefer O'Reilly,4
10 - 20,Romance,Sebastian Billingsley-Rodriguez,4
10 - 20,Romance,Christian Convery,3
10 - 20,Romance,Dakota Guppy,3
10 - 20,Romance,Erica Tremblay,3
10 - 20,ScienceFiction,Billy Barratt,4
10 - 20,ScienceFiction,Ever Anderson,3
